@relation traindata

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute class {class1,class2,class4,class5,class6,class8,class9,class10,class11,class3,class7}

@data
{0 0.0,1 0.0,2 0.0,3 -3.639,4 0.418,5 -0.67,6 1.779,7 -0.168,8 1.627,9 -0.388,10 0.529,11 -0.874,12 -0.814,13 class1}
{0 0.0,1 0.0,2 0.0,3 -3.327,4 0.496,5 -0.694,6 1.365,7 -0.265,8 1.933,9 -0.363,10 0.51,11 -0.621,12 -0.488,13 class2}
{0 0.0,1 0.0,2 0.0,3 -2.287,4 1.809,5 -1.498,6 1.012,7 -1.053,8 1.06,9 -0.567,10 0.235,11 -0.091,12 -0.795,13 class4}
{0 0.0,1 0.0,2 0.0,3 -2.598,4 1.938,5 -0.846,6 1.062,7 -1.633,8 0.764,9 0.394,10 -0.15,11 0.277,12 -0.396,13 class5}
{0 0.0,1 0.0,2 0.0,3 -2.852,4 1.914,5 -0.755,6 0.825,7 -1.588,8 0.855,9 0.217,10 -0.246,11 0.238,12 -0.365,13 class6}
{0 0.0,1 0.0,2 0.0,3 -3.941,4 2.305,5 0.124,6 1.771,7 -1.815,8 0.593,9 -0.435,10 0.992,11 0.575,12 -0.301,13 class8}
{0 0.0,1 0.0,2 0.0,3 -3.86,4 2.116,5 -0.939,6 0.688,7 -0.675,8 1.679,9 -0.512,10 0.928,11 -0.167,12 -0.434,13 class9}
{0 0.0,1 0.0,2 0.0,3 -3.648,4 1.812,5 -1.378,6 1.578,7 0.065,8 1.577,9 -0.466,10 0.702,11 0.06,12 -0.836,13 class10}
{0 0.0,1 0.0,2 0.0,3 -3.032,4 1.739,5 -1.141,6 0.737,7 -0.834,8 1.386,9 -0.575,10 0.679,11 -0.018,12 -0.823,13 class11}
{0 0.0,1 0.0,2 0.0,3 -3.653,4 0.373,5 -0.6,6 1.705,7 -0.222,8 1.765,9 -0.353,10 0.537,11 -0.797,12 -0.813,13 class1}
{0 0.0,1 0.0,2 0.0,3 -3.237,4 0.436,5 -0.86,6 1.363,7 -0.251,8 1.915,9 -0.395,10 0.751,11 -0.774,12 -0.327,13 class2}
{0 0.0,1 0.0,2 0.0,3 -2.135,4 0.954,5 -1.632,6 0.121,7 -0.704,8 1.6,9 -0.628,10 0.713,11 -0.903,12 -0.027,13 class3}
{0 0.0,1 0.0,2 0.0,3 -2.54,4 2.144,5 -1.024,6 0.933,7 -1.567,8 1.024,9 0.188,10 -0.047,11 0.309,12 -0.633,13 class5}
{0 0.0,1 0.0,2 0.0,3 -2.826,4 2.003,5 -0.738,6 0.801,7 -1.669,8 0.939,9 0.245,10 -0.257,11 0.256,12 -0.458,13 class6}
{0 0.0,1 0.0,2 0.0,3 -3.582,4 2.374,5 -0.358,6 1.162,7 -1.953,8 0.621,9 0.339,10 0.355,11 0.415,12 -0.259,13 class7}
{0 0.0,1 0.0,2 0.0,3 -3.951,4 2.25,5 0.127,6 1.772,7 -1.906,8 0.567,9 -0.432,10 1.045,11 0.598,12 -0.293,13 class8}
{0 0.0,1 0.0,2 0.0,3 -3.673,4 1.811,5 -1.405,6 1.621,7 0.044,8 1.572,9 -0.453,10 0.745,11 -0.066,12 -0.733,13 class10}
{0 0.0,1 0.0,2 0.0,3 -3.165,4 0.408,5 -0.971,6 1.207,7 -0.298,8 1.921,9 -0.215,10 0.723,11 -0.492,12 -0.425,13 class2}
{0 0.0,1 0.0,2 0.0,3 -2.105,4 1.035,5 -1.705,6 0.231,7 -0.558,8 1.554,9 -0.649,10 0.71,11 -0.855,12 -0.151,13 class3}
{0 0.0,1 0.0,2 0.0,3 -2.312,4 1.746,5 -1.51,6 1.019,7 -0.99,8 0.941,9 -0.488,10 0.208,11 0.033,12 -0.847,13 class4}
{0 0.0,1 0.0,2 0.0,3 -2.635,4 2.147,5 -1.129,6 0.911,7 -1.407,8 1.095,9 -0.071,10 0.118,11 0.139,12 -0.685,13 class5}
{0 0.0,1 0.0,2 0.0,3 -2.887,4 2.131,5 -0.83,6 0.682,7 -1.557,8 0.818,9 0.448,10 -0.382,11 0.207,12 -0.402,13 class6}
{0 0.0,1 0.0,2 0.0,3 -3.635,4 2.25,5 -0.394,6 1.012,7 -1.693,8 0.117,9 0.665,10 0.281,11 0.343,12 -0.003,13 class7}
{0 0.0,1 0.0,2 0.0,3 -3.712,4 1.816,5 -1.171,6 0.647,7 -0.767,8 1.698,9 -0.347,10 0.92,11 0.159,12 -0.359,13 class9}
{0 0.0,1 0.0,2 0.0,3 -3.74,4 1.832,5 -1.384,6 1.587,7 0.049,8 1.642,9 -0.516,10 0.707,11 -0.169,12 -0.522,13 class10}
{0 0.0,1 0.0,2 0.0,3 -3.624,4 0.305,5 -0.708,6 1.758,7 -0.194,8 1.675,9 -0.273,10 0.561,11 -0.577,12 -0.843,13 class1}
{0 0.0,1 0.0,2 0.0,3 -3.062,4 0.351,5 -1.071,6 1.061,7 -0.355,8 1.99,9 -0.21,10 0.796,11 -0.358,12 -0.299,13 class2}
{0 0.0,1 0.0,2 0.0,3 -2.289,4 1.845,5 -1.616,6 0.987,7 -0.876,8 1.044,9 -0.549,10 0.196,11 -0.07,12 -0.814,13 class4}
{0 0.0,1 0.0,2 0.0,3 -2.724,4 2.067,5 -1.142,6 0.923,7 -1.157,8 1.17,9 -0.276,10 0.172,11 -0.008,12 -0.649,13 class5}
{0 0.0,1 0.0,2 0.0,3 -3.015,4 2.232,5 -0.899,6 0.574,7 -1.331,8 0.546,9 0.61,10 -0.452,11 0.035,12 -0.156,13 class6}
{0 0.0,1 0.0,2 0.0,3 -3.618,4 1.576,5 -1.14,6 0.699,7 -0.741,8 1.633,9 -0.387,10 1.086,11 0.235,12 -0.388,13 class9}
{0 0.0,1 0.0,2 0.0,3 -3.687,4 1.784,5 -1.593,6 1.603,7 0.123,8 1.424,9 -0.225,10 0.441,11 0.206,12 -0.714,13 class10}
{0 0.0,1 0.0,2 0.0,3 -3.593,4 0.29,5 -0.782,6 1.707,7 -0.175,8 1.662,9 -0.137,10 0.493,11 -0.492,12 -0.926,13 class1}
{0 0.0,1 0.0,2 0.0,3 -3.046,4 0.387,5 -1.165,6 0.94,7 -0.386,8 1.978,9 -0.186,10 0.811,11 -0.394,12 -0.198,13 class2}
{0 0.0,1 0.0,2 0.0,3 -2.299,4 1.848,5 -1.695,6 1.065,7 -0.861,8 1.047,9 -0.607,10 0.313,11 -0.253,12 -0.759,13 class4}
{0 0.0,1 0.0,2 0.0,3 -2.911,4 1.928,5 -1.131,6 0.899,7 -0.911,8 1.111,9 -0.208,10 -0.047,11 -0.029,12 -0.539,13 class5}
{0 0.0,1 0.0,2 0.0,3 -3.459,4 2.086,5 -0.595,6 0.937,7 -1.841,8 0.6,9 0.457,10 0.4,11 0.473,12 -0.211,13 class7}
{0 0.0,1 0.0,2 0.0,3 -4.208,4 2.447,5 0.049,6 1.331,7 -2.088,8 0.585,9 -0.05,10 0.82,11 0.606,12 -0.302,13 class8}
{0 0.0,1 0.0,2 0.0,3 -3.543,4 1.391,5 -1.22,6 0.699,7 -0.769,8 1.579,9 -0.379,10 1.158,11 0.181,12 -0.178,13 class9}
{0 0.0,1 0.0,2 0.0,3 -3.684,4 1.774,5 -1.728,6 1.611,7 0.1,8 1.393,9 -0.193,10 0.554,11 0.245,12 -0.919,13 class10}
{0 0.0,1 0.0,2 0.0,3 -2.596,4 1.56,5 -1.249,6 0.656,7 -1.095,8 1.292,9 -0.55,10 1.006,11 -0.15,12 -0.553,13 class11}
{0 0.0,1 0.0,2 0.0,3 -3.604,4 0.235,5 -0.836,6 1.786,7 -0.153,8 1.642,9 -0.096,10 0.488,11 -0.524,12 -1.003,13 class1}
{0 0.0,1 0.0,2 0.0,3 -2.368,4 1.727,5 -1.556,6 1.162,7 -0.819,8 0.941,9 -0.572,10 0.345,11 -0.279,12 -0.736,13 class4}
{0 0.0,1 0.0,2 0.0,3 -3.141,4 1.873,5 -1.131,6 0.941,7 -0.759,8 1.224,9 -0.354,10 0.016,11 -0.218,12 -0.568,13 class5}
{0 0.0,1 0.0,2 0.0,3 -3.473,4 2.178,5 -0.82,6 0.706,7 -1.71,8 0.779,9 0.422,10 0.351,11 0.426,12 -0.267,13 class7}
{0 0.0,1 0.0,2 0.0,3 -3.546,4 1.258,5 -1.227,6 0.823,7 -0.702,8 1.734,9 -0.397,10 1.333,11 -0.277,12 0.013,13 class9}
{0 0.0,1 0.0,2 0.0,3 -3.869,4 1.86,5 -1.646,6 1.612,7 0.044,8 1.531,9 -0.493,10 0.862,11 -0.106,12 -1.001,13 class10}
{0 0.0,1 0.0,2 0.0,3 -2.666,4 1.516,5 -1.198,6 0.741,7 -1.066,8 1.24,9 -0.574,10 0.965,11 -0.13,12 -0.711,13 class11}
{0 0.0,1 1.0,2 0.0,3 -4.102,4 0.209,5 0.414,6 0.423,7 0.985,8 1.434,9 0.663,10 0.036,11 -0.784,12 -0.668,13 class1}
{0 0.0,1 1.0,2 0.0,3 -1.372,4 -0.03,5 -1.003,6 -0.388,7 -0.471,8 1.141,9 0.654,10 0.823,11 0.558,12 0.043,13 class2}
{0 0.0,1 1.0,2 0.0,3 -1.816,4 0.458,5 -0.947,6 -0.341,7 0.085,8 0.75,9 0.144,10 0.462,11 -0.24,12 -0.266,13 class3}
{0 0.0,1 1.0,2 0.0,3 -1.954,4 1.595,5 -1.593,6 0.37,7 -0.136,8 0.022,9 0.034,10 0.321,11 -0.19,12 -0.491,13 class4}
{0 0.0,1 1.0,2 0.0,3 -2.321,4 1.303,5 0.32,6 -0.085,7 -0.278,8 0.001,9 -0.094,10 -0.283,11 0.852,12 0.022,13 class6}
{0 0.0,1 1.0,2 0.0,3 -3.941,4 3.353,5 0.486,6 -0.506,7 -1.12,8 0.101,9 0.297,10 0.711,11 -0.078,12 0.648,13 class8}
{0 0.0,1 1.0,2 0.0,3 -3.088,4 1.389,5 0.048,6 -0.216,7 -0.329,8 0.91,9 0.045,10 -0.075,11 0.101,12 -0.134,13 class11}
{0 0.0,1 1.0,2 0.0,3 -4.275,4 0.162,5 0.728,6 0.662,7 0.94,8 1.269,9 0.711,10 0.073,11 -0.827,12 -0.655,13 class1}
{0 0.0,1 1.0,2 0.0,3 -1.657,4 0.056,5 -1.044,6 -0.32,7 -0.316,8 1.321,9 0.638,10 0.8,11 0.298,12 -0.159,13 class2}
{0 0.0,1 1.0,2 0.0,3 -1.709,4 0.486,5 -0.953,6 -0.346,7 0.02,8 0.786,9 0.145,10 0.564,11 -0.229,12 -0.322,13 class3}
{0 0.0,1 1.0,2 0.0,3 -3.146,4 3.076,5 -0.683,6 -0.032,7 -0.693,8 -0.06,9 -0.267,10 0.476,11 0.982,12 -0.352,13 class7}
{0 0.0,1 1.0,2 0.0,3 -4.267,4 3.01,5 0.172,6 0.028,7 -0.827,8 0.532,9 0.099,10 0.326,11 0.34,12 0.696,13 class9}
{0 0.0,1 1.0,2 0.0,3 -3.03,4 1.185,5 0.314,6 -0.121,7 -0.591,8 0.965,9 0.353,10 -0.137,11 -0.221,12 0.075,13 class11}
{0 0.0,1 1.0,2 0.0,3 -4.473,4 0.373,5 0.858,6 0.919,7 0.778,8 1.272,9 0.653,10 -0.216,11 -0.891,12 -0.627,13 class1}
{0 0.0,1 1.0,2 0.0,3 -1.856,4 0.063,5 -1.011,6 -0.238,7 -0.152,8 1.461,9 0.572,10 0.775,11 0.154,12 -0.31,13 class2}
{0 0.0,1 1.0,2 0.0,3 -1.976,4 0.389,5 -0.947,6 -0.25,7 -0.065,8 0.949,9 0.127,10 0.478,11 -0.323,12 -0.345,13 class3}
{0 0.0,1 1.0,2 0.0,3 -1.914,4 1.473,5 -1.342,6 -0.013,7 -0.213,8 0.253,9 0.005,10 0.229,11 -0.009,12 -0.445,13 class4}
{0 0.0,1 1.0,2 0.0,3 -2.554,4 1.117,5 0.42,6 -0.022,7 -0.645,8 0.02,9 0.145,10 -0.327,11 0.66,12 0.073,13 class6}
{0 0.0,1 1.0,2 0.0,3 -3.054,4 3.104,5 -0.513,6 -0.085,7 -0.952,8 0.299,9 -0.269,10 0.459,11 0.892,12 -0.308,13 class7}
{0 0.0,1 1.0,2 0.0,3 -3.84,4 3.745,5 0.121,6 -0.656,7 -1.066,8 0.329,9 0.734,10 0.875,11 -0.295,12 0.418,13 class8}
{0 0.0,1 1.0,2 0.0,3 -4.323,4 2.853,5 0.385,6 0.209,7 -1.096,8 0.431,9 0.119,10 0.268,11 0.131,12 0.654,13 class9}
{0 0.0,1 1.0,2 0.0,3 -2.922,4 1.516,5 -0.002,6 -0.353,7 -0.464,8 1.184,9 0.383,10 -0.175,11 -0.346,12 -0.033,13 class11}
{0 0.0,1 1.0,2 0.0,3 -1.945,4 0.352,5 -1.053,6 -0.228,7 -0.12,8 0.927,9 0.088,10 0.509,11 -0.279,12 -0.246,13 class3}
{0 0.0,1 1.0,2 0.0,3 -1.912,4 1.554,5 -1.455,6 -0.017,7 -0.118,8 0.27,9 -0.037,10 0.163,11 -0.027,12 -0.474,13 class4}
{0 0.0,1 1.0,2 0.0,3 -2.724,4 2.998,5 -0.56,6 -0.077,7 -0.944,8 0.548,9 -0.08,10 0.4,11 0.144,12 -0.63,13 class5}
{0 0.0,1 1.0,2 0.0,3 -2.385,4 1.241,5 0.272,6 -0.04,7 -0.692,8 0.16,9 -0.061,10 -0.189,11 0.744,12 0.088,13 class6}
{0 0.0,1 1.0,2 0.0,3 -3.092,4 3.014,5 -0.307,6 -0.016,7 -0.956,8 0.195,9 -0.227,10 0.367,11 0.958,12 -0.092,13 class7}
{0 0.0,1 1.0,2 0.0,3 -4.232,4 3.035,5 0.428,6 0.497,7 -1.374,8 0.549,9 0.133,10 0.232,11 0.129,12 0.487,13 class9}
{0 0.0,1 1.0,2 0.0,3 -2.945,4 1.724,5 -0.312,6 -0.239,7 -0.447,8 1.36,9 0.014,10 -0.102,11 0.021,12 -0.564,13 class11}
{0 0.0,1 1.0,2 0.0,3 -4.314,4 -0.106,5 1.044,6 1.192,7 0.687,8 0.763,9 0.158,10 -0.193,11 -1.342,12 -0.447,13 class1}
{0 0.0,1 1.0,2 0.0,3 -2.05,4 0.065,5 -0.938,6 -0.037,7 0.082,8 1.561,9 0.393,10 0.835,11 -0.029,12 -0.394,13 class2}
{0 0.0,1 1.0,2 0.0,3 -1.804,4 0.431,5 -1.0,6 -0.427,7 -0.094,8 0.848,9 0.084,10 0.636,11 -0.275,12 -0.214,13 class3}
{0 0.0,1 1.0,2 0.0,3 -2.748,4 3.217,5 -0.976,6 -0.213,7 -0.792,8 0.771,9 -0.032,10 0.223,11 0.043,12 -0.825,13 class5}
{0 0.0,1 1.0,2 0.0,3 -2.351,4 1.53,5 0.086,6 -0.075,7 -0.426,8 0.125,9 -0.197,10 0.033,11 0.848,12 -0.038,13 class6}
{0 0.0,1 1.0,2 0.0,3 -3.985,4 3.614,5 0.584,6 -0.42,7 -1.105,8 -0.174,9 0.348,10 0.885,11 -0.165,12 0.65,13 class8}
{0 0.0,1 1.0,2 0.0,3 -4.16,4 3.329,5 0.275,6 0.394,7 -1.287,8 0.693,9 0.483,10 0.121,11 0.286,12 0.153,13 class9}
{0 0.0,1 1.0,2 0.0,3 -4.88,4 3.064,5 0.06,6 0.434,7 -0.575,8 0.897,9 0.25,10 0.085,11 0.093,12 0.445,13 class10}
{0 0.0,1 1.0,2 0.0,3 -3.082,4 1.633,5 -0.118,6 -0.147,7 -0.484,8 1.176,9 -0.086,10 -0.072,11 0.086,12 -0.564,13 class11}
{0 0.0,1 1.0,2 0.0,3 -2.441,4 0.191,5 -0.814,6 0.255,7 0.411,8 1.636,9 0.395,10 0.761,11 -0.005,12 -0.564,13 class2}
{0 0.0,1 1.0,2 0.0,3 -1.672,4 0.328,5 -0.833,6 -0.577,7 -0.363,8 0.84,9 0.18,10 0.682,11 -0.124,12 -0.109,13 class3}
{0 0.0,1 1.0,2 0.0,3 -2.051,4 1.508,5 -1.641,6 -0.058,7 -0.102,8 0.346,9 -0.021,10 0.109,11 -0.147,12 -0.298,13 class4}
{0 0.0,1 1.0,2 0.0,3 -2.788,4 3.194,5 -1.142,6 -0.313,7 -0.58,8 0.357,9 0.281,10 0.082,11 0.109,12 -0.858,13 class5}
{0 0.0,1 1.0,2 0.0,3 -3.065,4 3.139,5 -0.461,6 -0.221,7 -0.759,8 -0.045,9 0.068,10 0.274,11 0.999,12 -0.331,13 class7}
{0 0.0,1 1.0,2 0.0,3 -3.963,4 3.938,5 0.466,6 -0.564,7 -1.042,8 -0.064,9 0.241,10 0.888,11 -0.032,12 0.798,13 class8}
{0 0.0,1 1.0,2 0.0,3 -4.136,4 3.582,5 -0.407,6 -0.038,7 -0.687,8 1.031,9 0.491,10 0.157,11 0.305,12 0.028,13 class9}
{0 0.0,1 1.0,2 0.0,3 -4.944,4 3.325,5 0.015,6 0.079,7 -0.593,8 1.047,9 0.337,10 0.296,11 -0.453,12 0.371,13 class10}
{0 0.0,1 1.0,2 0.0,3 -3.058,4 1.678,5 -0.351,6 -0.255,7 0.038,8 0.692,9 -0.173,10 0.226,11 0.202,12 -0.593,13 class11}
{0 0.0,1 2.0,2 0.0,3 -1.077,4 0.511,5 -2.006,6 0.305,7 -0.584,8 1.962,9 0.089,10 1.406,11 -0.669,12 -0.027,13 class2}
{0 0.0,1 2.0,2 0.0,3 -1.768,4 0.786,5 -1.468,6 1.077,7 -0.347,8 1.704,9 -0.171,10 1.076,11 -0.691,12 -0.06,13 class3}
{0 0.0,1 2.0,2 0.0,3 -1.737,4 1.789,5 -1.046,6 1.071,7 -0.775,8 1.041,9 -0.025,10 0.925,11 -0.452,12 0.007,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.432,4 2.126,5 -0.218,6 1.422,7 -1.169,8 0.41,9 -0.393,10 1.326,11 -0.067,12 0.225,13 class5}
{0 0.0,1 2.0,2 0.0,3 -2.125,4 1.952,5 -0.415,6 1.458,7 -0.985,8 0.52,9 -0.344,10 1.249,11 -0.37,12 0.145,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.607,4 2.406,5 -0.088,6 1.586,7 -1.477,8 0.164,9 -0.527,10 1.551,11 0.033,12 0.522,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.813,4 3.705,5 -0.157,6 1.561,7 -1.503,8 -0.366,9 -0.581,10 1.412,11 0.29,12 -0.099,13 class8}
{0 0.0,1 2.0,2 0.0,3 -3.05,4 1.6,5 -0.686,6 1.543,7 -1.149,8 -0.043,9 0.297,10 0.727,11 0.598,12 0.458,13 class9}
{0 0.0,1 2.0,2 0.0,3 -3.972,4 2.279,5 -0.62,6 0.954,7 -1.09,8 0.719,9 0.717,10 0.3,11 1.309,12 0.171,13 class10}
{0 0.0,1 2.0,2 0.0,3 -2.979,4 1.795,5 -0.87,6 1.427,7 -0.93,8 1.323,9 -0.212,10 1.286,11 -0.135,12 -0.496,13 class11}
{0 0.0,1 2.0,2 0.0,3 -1.674,4 1.711,5 -1.04,6 1.136,7 -0.869,8 1.036,9 -0.157,10 0.946,11 -0.361,12 0.02,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.155,4 2.027,5 -0.393,6 1.354,7 -1.045,8 0.646,9 -0.246,10 1.279,11 -0.396,12 0.177,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.652,4 2.156,5 -0.053,6 1.694,7 -1.258,8 0.062,9 -0.61,10 1.397,11 0.133,12 0.602,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.834,4 3.749,5 -0.183,6 1.518,7 -1.585,8 -0.281,9 -0.334,10 1.191,11 0.425,12 -0.104,13 class8}
{0 0.0,1 2.0,2 0.0,3 -3.33,4 1.529,5 -0.552,6 2.023,7 -0.845,8 0.016,9 0.049,10 0.512,11 0.396,12 0.386,13 class9}
{0 0.0,1 2.0,2 0.0,3 -4.17,4 2.232,5 -0.389,6 1.211,7 -1.011,8 0.57,9 0.543,10 0.218,11 1.206,12 0.044,13 class10}
{0 0.0,1 2.0,2 0.0,3 -0.941,4 0.539,5 -2.02,6 0.314,7 -0.679,8 1.897,9 0.028,10 1.504,11 -0.632,12 0.111,13 class2}
{0 0.0,1 2.0,2 0.0,3 -1.57,4 1.655,5 -1.04,6 1.16,7 -0.923,8 0.961,9 -0.231,10 0.955,11 -0.273,12 0.065,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.043,4 1.95,5 -0.435,6 1.341,7 -1.049,8 0.558,9 -0.237,10 1.237,11 -0.283,12 0.306,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.679,4 1.731,5 -0.09,6 2.003,7 -1.009,8 0.038,9 -0.822,10 1.232,11 0.128,12 0.72,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.836,4 3.699,5 -0.225,6 1.52,7 -1.729,8 -0.184,9 0.064,10 0.97,11 0.5,12 -0.13,13 class8}
{0 0.0,1 2.0,2 0.0,3 -3.478,4 1.703,5 -0.557,6 2.191,7 -1.043,8 0.339,9 -0.004,10 0.587,11 0.45,12 0.006,13 class9}
{0 0.0,1 2.0,2 0.0,3 -4.333,4 2.438,5 -0.219,6 1.372,7 -0.761,8 0.306,9 0.594,10 -0.022,11 1.103,12 0.19,13 class10}
{0 0.0,1 2.0,2 0.0,3 -2.704,4 1.285,5 -0.908,6 1.57,7 -0.84,8 1.044,9 -0.399,10 0.951,11 0.345,12 -0.695,13 class11}
{0 0.0,1 2.0,2 0.0,3 -1.417,4 -0.319,5 -2.254,6 1.072,7 -0.221,8 2.268,9 0.43,10 0.923,11 -1.486,12 -0.698,13 class1}
{0 0.0,1 2.0,2 0.0,3 -0.961,4 0.514,5 -1.951,6 0.364,7 -0.68,8 1.895,9 0.047,10 1.539,11 -0.63,12 0.094,13 class2}
{0 0.0,1 2.0,2 0.0,3 -1.22,4 0.831,5 -1.674,6 0.94,7 -0.425,8 1.463,9 -0.063,10 1.135,11 -0.422,12 0.06,13 class3}
{0 0.0,1 2.0,2 0.0,3 -1.501,4 1.611,5 -1.003,6 1.156,7 -0.883,8 0.901,9 -0.169,10 0.862,11 -0.151,12 0.164,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.176,4 1.952,5 -0.144,6 1.659,7 -1.128,8 0.28,9 -0.658,10 1.346,11 0.008,12 0.505,13 class5}
